"ID_REF"	"GSM7111530"	"GSM7111531"	"GSM7111532"	"GSM7111533"	"GSM7111534"	"GSM7111535"
"TC1000001575.mm.2"	77.37362	77.40659	76.86384	79.59483	90.9882	86.75234
"TC1000001576.mm.2"	61.72053	57.95507	60.74716	52.785515	59.07931	72.59088
"TC1000001577.mm.2"	100.042076	88.87885	71.76833	64.05208	72.853355	76.10938
"TC1000001579.mm.2"	4451.5186	5470.922	3793.076	4470.362	5252.5	5314.791
"TC1000001580.mm.2"	36357.86	35198.32	35736.758	34217.746	33770.57	38102.824
"TC1000001581.mm.2"	1959.4117	2117.7253	2211.0232	1891.7374	1344.8438	3009.6995
"TC1000001584.mm.2"	125882.57	120909.8	125764.63	124233.54	119293.25	122765.71
"TC1000001587.mm.2"	760.0116	429.33395	667.0543	829.32904	570.89124	1008.23706
"TC1000001590.mm.2"	80.00381	91.22753	102.75742	106.4829	76.532104	93.102905
"TC1000001592.mm.2"	203.12292	211.49933	145.73637	172.67561	151.59988	149.43768
"TC1000001593.mm.2"	3003.5024	3731.5828	3205.053	3831.0354	3793.2263	3331.6753
"TC1000001594.mm.2"	43.317978	58.164433	52.98855	61.273544	56.484184	53.111267
"TC1000001595.mm.2"	43.51602	54.72371	45.33638	42.488132	35.050842	41.914875
"TC1000001596.mm.2"	655.9677	559.5848	537.3145	639.88916	617.2893	539.3276
"TC1000001597.mm.2"	1101.0394	1022.0767	996.3424	1041.4857	1257.4113	978.6948
"TC1000001598.mm.2"	6577.701	5439.5845	6168.9604	6094.833	5809.8794	6272.676
"TC1000001599.mm.2"	44779.508	40496.98	43459.844	47972.69	41530.227	45391.508
"TC1000001601.mm.2"	2448.253	2200.0857	2568.156	3322.2734	3066.995	3040.8303
"TC1000001605.mm.2"	6987.4795	6500.939	6092.7983	7612.7515	7676.6514	7753.3945
"TC1000001609.mm.2"	2175.105	2180.293	1968.6193	1965.5803	1844.7954	2058.3257
"TC1000001618.mm.2"	76.21332	79.92356	82.03869	92.10478	85.63342	86.658516
"TC1000001620.mm.2"	2236.8335	1695.6425	2440.9424	2525.1104	1857.6813	1975.0701
"TC1000001621.mm.2"	2205.816	1954.9949	2195.0535	1605.2534	1862.0088	1843.5995
"TC1000001622.mm.2"	3199.6233	2962.1848	3253.4597	2923.4077	3069.5608	2697.16
"TC1000001624.mm.2"	1467.4983	1422.1133	1417.9108	1790.2192	1400.52	2512.6423
"TC1000001625.mm.2"	38951.25	43131.63	37347.168	39133.094	35599.91	39771.27
"TC1000001626.mm.2"	113.908554	128.98729	141.57141	98.59856	134.08838	100.744896
"TC1000001629.mm.2"	66.02871	97.61912	70.98392	55.876442	65.86634	82.22219
"TC1000001630.mm.2"	61.080463	72.971245	73.17185	58.416992	61.258865	59.050907
"TC1000001632.mm.2"	33.278492	33.25728	31.579554	28.391457	32.191628	30.94542
"TC1000001633.mm.2"	21.949348	26.259178	22.09821	24.110313	27.379776	22.140348
"TC1000001634.mm.2"	21.34402	24.999378	26.375683	19.452572	24.932951	25.095875
"TC1000001636.mm.2"	54.34318	51.821743	71.452385	63.793392	57.415108	54.989258
"TC1000001637.mm.2"	37.535	32.26599	39.423042	30.198235	30.179955	34.345436
"TC1000001638.mm.2"	34.980015	34.64473	34.47018	27.528154	33.048077	36.7391
"TC1000001639.mm.2"	31.215475	31.718554	37.368237	37.37393	36.785786	29.954914
"TC1000001640.mm.2"	77.003975	99.4717	87.596146	85.886635	98.70162	90.51873
"TC1000001641.mm.2"	31.421217	27.636274	30.880377	32.084904	32.984875	32.007214
"TC1000001642.mm.2"	32.736404	29.103468	31.416264	34.862713	36.632812	37.346344
"TC1000001643.mm.2"	38.362827	36.794407	48.330307	36.621952	39.42729	34.869083
"TC1000001644.mm.2"	23.296793	27.867743	24.540457	27.453312	26.339869	26.244246
"TC1000001645.mm.2"	46.625195	40.00448	30.081623	48.01099	41.299953	47.275684
"TC1000001646.mm.2"	37.05449	27.350363	34.441036	34.379963	32.77625	34.807148
"TC1000001647.mm.2"	29.121277	29.15246	29.46173	28.418974	31.449352	33.617393
"TC1000001648.mm.2"	36.8644	33.052536	38.481846	29.008757	43.37061	43.156776
"TC1000001649.mm.2"	40.62476	37.64182	43.374496	42.86161	45.271484	40.056213
"TC1000001652.mm.2"	22.945475	28.400608	23.947296	26.418058	31.22982	25.256063
"TC1000001654.mm.2"	42.589756	43.870457	44.92806	44.4802	48.76325	43.898045
"TC1000001655.mm.2"	25.488186	29.815926	22.392561	28.790232	30.168367	24.491913
"TC1000001656.mm.2"	25.69642	33.094982	27.578844	28.696388	24.23772	31.123302
"TC1000001657.mm.2"	34.641224	35.718933	35.160538	37.707317	35.289585	41.58993
"TC1000001658.mm.2"	34.442257	35.95205	31.682459	31.334568	32.018948	32.34077
"TC1000001659.mm.2"	25.025501	28.551336	31.33869	29.502645	35.612144	30.08733
"TC1000001661.mm.2"	37.050007	34.167503	42.25782	31.772696	34.6214	33.85475
"TC1000001668.mm.2"	57.072956	60.5073	59.759686	57.487892	75.23635	65.25123
"TC1000001675.mm.2"	452.41342	437.02533	514.6042	703.3734	646.43945	599.54694
"TC1000001676.mm.2"	1185.1755	1093.4902	1078.4406	1440.59	1221.9581	1094.1649
"TC1000001679.mm.2"	1226.0538	1316.9124	1154.5796	1148.8682	1289.3865	987.3562
"TC1000001684.mm.2"	97.753784	87.29057	83.91453	79.92121	96.47339	93.03579
"TC1000001686.mm.2"	6658.7627	10587.801	8574.659	9109.092	10302.151	11628.026
"TC1000001687.mm.2"	944.83136	986.7611	1130.2144	1013.7338	782.2394	981.05585
"TC1000001688.mm.2"	2116.9905	2081.5813	2334.7473	1840.9799	1794.4786	1966.7437
"TC1000001689.mm.2"	129.43143	123.325165	116.09905	107.72421	108.78178	113.401054
"TC1000001691.mm.2"	57.59556	57.707657	58.590034	57.66592	51.5779	46.759678
